,open,high,low,close,volume,regime
2024-01-01 00:00:00+00:00,2000.0,2000.577656101926,1999.699281884057,2000.4876067580356,1875.9357751113419,0
2024-01-01 00:05:00+00:00,2000.4876067580356,2001.3048973080574,1998.675211180479,1998.8239186850567,1205.8281643174275,0
2024-01-01 00:10:00+00:00,1998.8239186850567,2000.1866356477924,1998.257322438837,2000.0242948184707,11232.832391676677,0
2024-01-01 00:15:00+00:00,2000.0242948184707,2004.3468027443862,1998.1901900574383,2003.5446915057346,2038.634216196173,0
2024-01-01 00:20:00+00:00,2003.5446915057346,2004.0247740142217,1998.3930932367168,1999.5083004192345,3056.524737642711,0
2024-01-01 00:25:00+00:00,1999.5083004192345,1999.733075799844,1996.8100966250806,1997.3244479116552,3187.256141071314,0
2024-01-01 00:30:00+00:00,1997.3244479116552,1997.6089954116471,1996.5803045643638,1997.530262032889,7219.177911847622,0
2024-01-01 00:35:00+00:00,1997.530262032889,1998.3291998111029,1996.1580438753874,1997.0243922588206,1391.3457848832834,0
2024-01-01 00:40:00+00:00,1997.0243922588206,1998.95058168681,1995.32850740605,1996.9616565320518,7590.165440966618,0
2024-01-01 00:45:00+00:00,1996.9616565320518,1998.2979327180249,1994.494795264947,1995.2016137760845,1071.7235517061688,0
2024-01-01 00:50:00+00:00,1995.2016137760845,1997.6925327439164,1995.1363306683713,1996.6746062497475,7574.754391004774,0
2024-01-01 00:55:00+00:00,1996.6746062497475,1998.381665722187,1996.3710223931673,1997.9267181894736,755.7875603907871,0
2024-01-01 01:00:00+00:00,1997.9267181894736,1998.1711232603373,1997.5940624976581,1998.0323797354472,2741.7604100749195,0
2024-01-01 01:05:00+00:00,1998.0323797354472,1999.8464384962492,1997.6215322631017,1999.835309518939,10941.845748852415,0
2024-01-01 01:10:00+00:00,1999.835309518939,2001.1363753218766,1998.8460674834519,2000.5834217763788,5207.2381394343065,0
2024-01-01 01:15:00+00:00,2000.5834217763788,2001.4780601163468,1998.9914748990502,1999.2086201271122,4175.51854059613,0
2024-01-01 01:20:00+00:00,1999.2086201271122,2001.2388819108282,1997.8918827501855,2000.5875003793267,1288.5436249782126,0
2024-01-01 01:25:00+00:00,2000.5875003793267,2000.8546364450547,1997.2746365808132,1998.6056322805935,1655.9977970579662,0
2024-01-01 01:30:00+00:00,1998.6056322805935,2000.5584428550776,1997.9305236995663,2000.0795420910188,8738.699481421196,0
2024-01-01 01:35:00+00:00,2000.0795420910188,2001.0157874832569,1999.7801626958483,1999.9990597550545,4349.741047522356,0
2024-01-01 01:40:00+00:00,1999.9990597550545,2000.469261003383,1998.7033906716208,1999.7029681166682,6076.592644784981,0
2024-01-01 01:45:00+00:00,1999.7029681166682,2000.4541958254981,1998.264193672038,1998.6137548451857,3162.237260765372,0
2024-01-01 01:50:00+00:00,1998.6137548451857,2001.0506475713958,1998.5639538658295,2000.5694711184524,2379.426598858773,0
2024-01-01 01:55:00+00:00,2000.5694711184524,2000.9574123148886,1999.8734776772985,2000.3221678908626,5504.544508850741,0
2024-01-01 02:00:00+00:00,2000.3221678908626,2000.7806334287618,1999.3866133895413,1999.636850011721,3668.2956313960503,0
2024-01-01 02:05:00+00:00,1999.636850011721,2000.435616481326,1998.2223939862965,1999.0736179213543,2601.99047684604,0
